ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
1.0,0.5,2.0,1.0,3.0,0.8770288735628128,1.2174360250301695
1.0,0.5,2.0,1.0,10.0,0.8780006021261215,1.217605676260624
1.0,0.5,2.0,3.0,3.0,0.8838289588689804,1.145426656880166
1.0,0.5,2.0,3.0,10.0,0.8847710996866226,1.1456143970379054
1.0,0.5,2.0,10.0,3.0,0.8853065639734268,1.272957382188554
1.0,0.5,2.0,10.0,10.0,0.8860195845365524,1.2731725227738164
1.0,0.5,2.0,30.0,3.0,0.9034557431936264,-0.839733194271948
1.0,0.5,2.0,30.0,10.0,0.9040417164564133,-0.8394552242933028
1.0,0.5,5.0,1.0,3.0,0.7320905148983001,0.08961736021522379
1.0,0.5,5.0,1.0,10.0,0.7318485766649246,0.09046455013016155
1.0,0.5,5.0,3.0,3.0,0.7582671694457531,0.508758595663366
1.0,0.5,5.0,3.0,10.0,0.7576364107429981,0.7076858619326901
1.0,0.5,5.0,10.0,3.0,0.7780345201492309,0.04644401577213006
1.0,0.5,5.0,10.0,10.0,0.7774413660168648,0.04676463382828775
1.0,0.5,5.0,30.0,3.0,0.7919203996658325,-0.011110358440261085
1.0,0.5,5.0,30.0,10.0,0.7913905486464501,-0.01075502445075249
1.0,0.5,10.0,1.0,3.0,0.619002428650856,-0.10637229778003304
1.0,0.5,10.0,1.0,10.0,0.619202234596014,-0.1064875359958809
1.0,0.5,10.0,3.0,3.0,0.6514729917049408,-0.09256603096785465
1.0,0.5,10.0,3.0,10.0,0.6487771704792976,-0.09189617251183475
1.0,0.5,10.0,10.0,3.0,0.6824892528355122,-0.15565707770196868
1.0,0.5,10.0,10.0,10.0,0.6817095257341862,-0.15539685231804343
1.0,0.5,10.0,30.0,3.0,0.6748370558023453,-0.1264076270389207
1.0,0.5,10.0,30.0,10.0,0.6739935904741288,-0.12596229251687266
1.0,1.0,2.0,1.0,3.0,0.866283518075943,1.5126204607866336
1.0,1.0,2.0,1.0,10.0,0.8683521151542664,1.3538461393623153
1.0,1.0,2.0,3.0,3.0,0.8763530850410461,1.7449023330649132
1.0,1.0,2.0,3.0,10.0,0.8774157971143722,1.903169236970046
1.0,1.0,2.0,10.0,3.0,0.9009877920150757,1.836399160446371
1.0,1.0,2.0,10.0,10.0,0.9018407315015793,1.6922862712839122
1.0,1.0,2.0,30.0,3.0,0.9189452320337296,-1.3853741436829308
1.0,1.0,2.0,30.0,10.0,0.9198144167661667,-1.3848069354221546
1.0,1.0,5.0,1.0,3.0,0.6531396031379699,0.4015649780178998
1.0,1.0,5.0,1.0,10.0,0.6538713403046131,0.44101765521344166
1.0,1.0,5.0,3.0,3.0,0.7065453276038169,0.28668704921575017
1.0,1.0,5.0,3.0,10.0,0.7064998999238015,0.28726543239850905
1.0,1.0,5.0,10.0,3.0,0.7635292544960975,0.21287432950869026
1.0,1.0,5.0,10.0,10.0,0.763061237335205,0.21304364281862068
1.0,1.0,5.0,30.0,3.0,0.7635277211666107,0.0870939657854747
1.0,1.0,5.0,30.0,10.0,0.7633987069129944,0.08752937507174094
1.0,1.0,10.0,1.0,3.0,0.5605874622240663,0.020086285485513593
1.0,1.0,10.0,1.0,10.0,0.5626835146918893,0.028742607804344365
1.0,1.0,10.0,3.0,3.0,0.5808151520788669,-0.09212916578902701
1.0,1.0,10.0,3.0,10.0,0.5816469771787525,-0.09005445469278203
1.0,1.0,10.0,10.0,3.0,0.5943896634504199,-0.10960523900926764
1.0,1.0,10.0,10.0,10.0,0.5952564775943756,-0.10868805301049184
1.0,1.0,10.0,30.0,3.0,0.6047317244112491,-0.0973761404534
1.0,1.0,10.0,30.0,10.0,0.6053502205759287,-0.09621010750677143
1.0,2.0,2.0,1.0,3.0,1.1997138291597367,-0.15693190020366085
1.0,2.0,2.0,1.0,10.0,1.1995519012212754,-0.25480952948360824
1.0,2.0,2.0,3.0,3.0,1.1948844820261002,-0.16929749543723746
1.0,2.0,2.0,3.0,10.0,1.194834890961647,-0.17093392800035823
1.0,2.0,2.0,10.0,3.0,0.9358185097575188,0.04376069708431359
1.0,2.0,2.0,10.0,10.0,0.9412019431591034,-0.005083319496032685
1.0,2.0,2.0,30.0,3.0,0.9181034982204437,0.07731764513427743
