ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
1.0,0.75,10.0,3.0,10.0,0.6012371260672807,-0.14126935132051313
1.0,0.75,10.0,10.0,10.0,0.6292716518044472,-0.12277938772780479
1.0,0.75,10.0,30.0,10.0,0.6361229620873928,-0.14568393789925618
1.0,0.75,10.0,100.0,10.0,0.6421191930770874,0.008622106266355322
1.0,0.75,10.0,300.0,10.0,0.6535641074180603,-0.14258136557714007
1.0,0.75,20.0,3.0,10.0,0.539176610391587,-0.007030543877824167
1.0,0.75,20.0,10.0,10.0,0.5414148032665252,-0.044722518304675815
1.0,0.75,20.0,30.0,10.0,0.5485024072229863,-0.045913504662470316
1.0,0.75,20.0,100.0,10.0,0.5595495105721057,-0.05899713171471076
1.0,0.75,20.0,300.0,10.0,0.5591779250651598,-0.062106749156605516
1.0,1.0,10.0,3.0,10.0,0.5816469771787525,-0.09005445469278203
1.0,1.0,10.0,10.0,10.0,0.5952564775943756,-0.10868805301049184
1.0,1.0,10.0,30.0,10.0,0.6053502205759287,-0.09621010750677143
1.0,1.0,10.0,100.0,10.0,0.6103676363825798,-0.09873853131942457
1.0,1.0,10.0,300.0,10.0,0.6134282812476158,-0.08906934279186904
1.0,1.0,20.0,3.0,10.0,0.5434160218574107,0.01374789046251115
1.0,1.0,20.0,10.0,10.0,0.5405098613351583,0.008705618793863506
1.0,1.0,20.0,30.0,10.0,0.5450593260116875,-0.0015630611614399624
1.0,1.0,20.0,100.0,10.0,0.5502892996184527,-0.013357846378460901
1.0,1.0,20.0,300.0,10.0,0.5497836292721331,-0.016774002022005668
1.0,1.5,10.0,3.0,10.0,0.6862635396420955,0.00813755445718924
1.0,1.5,10.0,10.0,10.0,0.536520092561841,0.0722592975020634
1.0,1.5,10.0,30.0,10.0,0.55084008872509,-0.04866641093702564
1.0,1.5,10.0,100.0,10.0,0.5792409529909491,-0.07503885241585907
1.0,1.5,10.0,300.0,10.0,0.5858087711036205,-0.07688066921595453
1.0,1.5,20.0,3.0,10.0,0.5478948794305325,0.025314366825368903
1.0,1.5,20.0,10.0,10.0,0.5418375855311751,0.023643893605367935
1.0,1.5,20.0,30.0,10.0,0.5419607423245907,0.02310432054838525
1.0,1.5,20.0,100.0,10.0,0.5438461733981967,0.02198142158239524
1.0,1.5,20.0,300.0,10.0,0.543374764919281,0.02297994378854823
1.0,2.0,10.0,3.0,10.0,0.9074863098561764,-0.22238680487761764
1.0,2.0,10.0,10.0,10.0,0.711464112251997,0.031566849111617584
1.0,2.0,10.0,30.0,10.0,0.57174092233181,0.041035205484793946
1.0,2.0,10.0,100.0,10.0,0.562413964048028,0.06872070118260101
1.0,2.0,10.0,300.0,10.0,0.5630049090832472,0.07983450609772802
1.0,2.0,20.0,3.0,10.0,0.6462414782494307,-0.005548021118592628
1.0,2.0,20.0,10.0,10.0,0.5544759474694729,0.01757476892278245
1.0,2.0,20.0,30.0,10.0,0.5460793586447835,0.02887692066054533
1.0,2.0,20.0,100.0,10.0,0.544959931075573,0.026515987597921755
1.0,2.0,20.0,300.0,10.0,0.5440653242170811,0.026767870303123293
1.0,3.0,10.0,3.0,10.0,1.012854553759098,-0.2071383501506375
1.0,3.0,10.0,10.0,10.0,0.9124780058860779,-0.20193943437447726
1.0,3.0,10.0,30.0,10.0,0.6928914487361908,0.03818447523991683
1.0,3.0,10.0,100.0,10.0,0.6071311257779598,0.058621625854142885
1.0,3.0,10.0,300.0,10.0,0.5752334106713534,0.0711049363605888
1.0,3.0,20.0,3.0,10.0,0.8256315842270852,-0.17293935122710485
1.0,3.0,20.0,10.0,10.0,0.707100810110569,0.022646719078527146
1.0,3.0,20.0,30.0,10.0,0.5778036020696163,0.004146047041772438
1.0,3.0,20.0,100.0,10.0,0.5620084296911955,0.00606162742332098
1.0,3.0,20.0,300.0,10.0,0.5579892091453076,0.0071186820451287205
-1.0,0.75,10.0,3.0,10.0,0.6068027049303055,-0.06144811190784181
-1.0,0.75,10.0,10.0,10.0,0.6321331724524498,-0.09643004822185448
-1.0,0.75,10.0,30.0,10.0,0.6252527825534344,-0.08111851024579354
