ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
1.0,1.0,2.0,1.0,10.0,0.9817920312285423,0.04505455617479991
1.0,1.0,2.0,3.0,10.0,1.0049676448106766,0.49779045402916405
1.0,1.0,2.0,10.0,10.0,1.0224471718072892,0.6419670814720584
1.0,1.0,2.0,30.0,10.0,1.027095514535904,-0.008644936470850413
1.0,1.0,2.0,100.0,10.0,1.0281075447797776,0.08020810011661422
1.0,1.0,5.0,1.0,10.0,0.8378081575036049,-0.09041552740538791
1.0,1.0,5.0,3.0,10.0,0.8968009367585182,-0.040082063980830036
1.0,1.0,5.0,10.0,10.0,0.9246853902935982,0.04376829251864225
1.0,1.0,5.0,30.0,10.0,0.9335397809743882,0.18945200553492153
1.0,1.0,5.0,100.0,10.0,0.9377170383930207,0.19094812038134198
1.0,1.0,10.0,1.0,10.0,0.6521193513646721,-0.018053621592947433
1.0,1.0,10.0,3.0,10.0,0.7534612223505974,-0.031890589286047086
1.0,1.0,10.0,10.0,10.0,0.8171655490994454,-0.08913235720604212
1.0,1.0,10.0,30.0,10.0,0.8317251861095428,-0.31271288364912303
1.0,1.0,10.0,100.0,10.0,0.8378737181425094,-0.3169544182750991
1.0,1.0,20.0,1.0,10.0,0.5513374242931605,0.007130504102445635
1.0,1.0,20.0,3.0,10.0,0.5687121856957674,-0.006158637811214465
1.0,1.0,20.0,10.0,10.0,0.6266411731019617,-0.04239258693616864
1.0,1.0,20.0,30.0,10.0,0.654790660738945,0.014050106676170137
1.0,1.0,20.0,100.0,10.0,0.6634569585323333,0.00691021865765835
1.0,2.0,2.0,1.0,10.0,1.184550042450428,-0.21184898673905486
1.0,2.0,2.0,3.0,10.0,1.185389044880867,-0.22977514497011825
1.0,2.0,2.0,10.0,10.0,1.186130777001381,-0.16162470598218173
1.0,2.0,2.0,30.0,10.0,1.1763773515820504,-0.16462101015609862
1.0,2.0,2.0,100.0,10.0,1.1748638674616814,-0.16424341793859568
1.0,2.0,5.0,1.0,10.0,1.0892025992274283,-0.27639205821242013
1.0,2.0,5.0,3.0,10.0,1.0909960016608238,-0.2756743280005525
1.0,2.0,5.0,10.0,10.0,1.0949586808681488,-0.27819837574639245
1.0,2.0,5.0,30.0,10.0,1.091760489344597,-0.2826933414278957
1.0,2.0,5.0,100.0,10.0,1.0922222137451172,-0.28474020768743746
1.0,2.0,10.0,1.0,10.0,0.9281404964625836,-0.2629124410863638
1.0,2.0,10.0,3.0,10.0,0.9324739586561919,-0.2606858074262073
1.0,2.0,10.0,10.0,10.0,0.9430914618074894,-0.263426645815021
1.0,2.0,10.0,30.0,10.0,0.9473602205514908,-0.2671642075347158
1.0,2.0,10.0,100.0,10.0,0.9494949299842119,-0.2690151201723938
1.0,2.0,20.0,1.0,10.0,0.7096986517310142,-0.10614308558197345
1.0,2.0,20.0,3.0,10.0,0.723700106330216,-0.10659894296846632
1.0,2.0,20.0,10.0,10.0,0.7493492439389229,-0.12320726325008753
1.0,2.0,20.0,30.0,10.0,0.7657813988626003,-0.14471740121813437
