label,held_out_loss,slope,anchor_err_deg,n_epochs,seed,hold_prob,sign_reg,anchor,max_av,ring_source,ring_sign,activation,type_params,real_sign_control,control_shuffle_seed,control_swap_fraction,control_type_mask,frac_edges_changed,recurrent_gain,tau,in_gain,cue_gain,mean_abs_sign,frac_polarized_gt_0.9
anchor_pilot_m,0.47721833710869155,,,1000,0,0.3,0.05,True,0.15,eb_synapses,-1.0,,,,,,,,4.0,5.0,,,0.7850692272186279,0.4752183258533478
anchor_pilot_p,0.45155380945652723,,,1000,0,0.3,0.05,True,0.15,eb_synapses,1.0,,,,,,,,4.0,5.0,,,0.7572419047355652,0.4368995726108551
dose_real_seed1_p,0.1240813655157884,0.752396944837769,4.705141438293266,600,1,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,,0.0,2.0,10.0,10.0,10.0,1.0,1.0
dose_real_seed2_p,0.10555520815153917,0.8363478900394185,3.9180404630665597,600,2,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,,0.0,2.0,10.0,10.0,10.0,1.0,1.0
dose_swap0.1_rep1_p,0.4735246881842613,0.007841149316522552,2.8704975872867795,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,1.0,0.1,,0.04312227074235808,2.0,10.0,10.0,10.0,1.0,1.0
dose_swap0.1_rep2_p,0.4976054498304923,0.00027271952025381983,2.3671290272386774,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,2.0,0.1,,0.03908296943231441,2.0,10.0,10.0,10.0,1.0,1.0
dose_swap0.1_rep3_p,0.5067285910248757,-0.03177376288130272,4.436359467663735,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,3.0,0.1,,0.044323144104803494,2.0,10.0,10.0,10.0,1.0,1.0
dose_swap0.25_rep1_p,0.4909904034187396,-0.001960801099234781,4.876344644167791,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,1.0,0.25,,0.07521834061135371,2.0,10.0,10.0,10.0,1.0,1.0
dose_swap0.25_rep2_p,0.47849751462539036,0.014752848476903604,4.512296130588541,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,2.0,0.25,,0.1009825327510917,2.0,10.0,10.0,10.0,1.0,1.0
dose_swap0.25_rep3_p,0.4625768534839153,-0.011791958270063711,3.5619883027446533,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,3.0,0.25,,0.1101528384279476,2.0,10.0,10.0,10.0,1.0,1.0
